Title,id,Samling,Nr,Titel,Dato,speaker_id,text,Date,doc_id,Name,Year,Parti,Period,.groups
Bertel Haarder,20201_M1_referat,20201,1,"Referat af møde 1 den 6. oktober, 2020 kl. 12.00",06-10-2020,0,": deres majestæt og kongelige højheder. gennem 170 år er det kun krig og corona, der har kunnet forstyrre friheden og folkestyret i danmark. jeg har været med til folketingets åbning 40 gange kun overgået af hendes majestæt og det er 10. gang, jeg åbner folketingsåret, men aldrig under sådanne omstændigheder. normale demokratiske debatter og beslutningsprocesser har været sat til side. regeringen har med folketingets accept taget over i hidtil uset grad. mit ønske til det nye år er, at vi lærer at træffe hurtige beslutninger uden demokratisk underskud, uden at det går ud over logik og forudsigelighed, og med klarhed over, hvad der er sagkundskab, og hvad der er politiske valg. vi har her i salen taget vores egen medicin og fulgt vores egne restriktioner. vi har improviseret, vandret rundt i vandrehallen og er gået ud og ind ti ad gangen for ikke at være for mange i salen, når vi skulle stemme. og heller ikke i dag er vi uanfægtet af pandemien, men vi skal mødes den første tirsdag i oktober: det siger grundloven. den kræver, at vi mødes og starter arbejdet den første tirsdag i oktober og påhører statsministerens redegørelse om og jeg citerer rigets almindelige stilling og de af regeringen påtænkte foranstaltninger«. ifølge folketingets forretningsorden er det mig, der som aldersformand, det vil sige ikke den ældste, men den længst siddende, skal åbne tinget og få det sat. det vil sige, at jeg skal lede valget af præsidium og tingsekretærer. : til første næstformand har venstres gruppe udpeget fru karen ellemann. efter fælles forståelse mellem dansk folkeparti og radikale venstre, som har lige mange medlemmer, er udpegningen af anden og tredje næstformand sket uden lodtrækning. til anden næstformand har dansk folkepartis gruppe udpeget fru pia kjærsgaard. til tredje næstformand har radikale venstres gruppe udpeget hr. jens rohde. og til fjerde næstformand har socialistisk folkepartis gruppe udpeget fru trine torp. det næste punkt på dagsordenen er: 3 valg af 4 tingsekretærer. dagsorden 1 valg af formand. 2 valg af 4 næstformænd. 3 valg af 4 tingsekretærer. 4 statsministerens redegørelse i henhold til grundlovens § 38. det næste punkt på dagsordenen er: 2 valg af 4 næstformænd. : til formand har samtlige partier indstillet hr. henrik dam kristensen. hvis ingen begærer afstemning, vil jeg betragte hr. henrik dam kristensen som valgt. han er valgt. : til tingsekretærer er i henhold til de indgåede valgforbund og gruppernes indstilling valgt følgende medlemmer: fru annette lind s , hr. christian juhl el , hr. erling bonnesen v og hr. bent bøgsted df . hermed er tinget sat, og jeg skal bede formanden om at indtage sin formandsplads.",2020-10-06T11:58:00Z,1,Bertel Haarder,2020,Venstre,2019-,1
Torsten Gejl,20201_M3_referat,20201,3,"Referat af møde 3 den 8. oktober, 2020 kl. 9.00",08-10-2020,1008,": ja, man må jo presse på, og man må komme med gode idéer fra alt fra tekniske løsninger til finansiering. vi er kommet med en idé til finansiering via f.eks. grønne obligationer. i holland samlede man 66 mia. kr. på en dag til klimaløsninger via grønne obligationer. vi skal til at bruge mange flere varmepumper, og vi skal have bølge‐ energi ind. der er jo lavet bølgeenergieksperimenter i danmark, der er utrolig interessante, men de er ikke kommet videre. bølgeenergi",2020-10-08T19:25:00Z,10,Torsten Gejl,2020,Alternativet,2019-,1
Jesper Petersen,20201_M3_referat,20201,3,"Referat af møde 3 den 8. oktober, 2020 kl. 9.00",08-10-2020,189,": jeg tror ikke, at der er lande, der har en mere ambitiøs klimapolitik, end danmark har, altså i forhold til at skulle opnå en reduktion på 70 pct. så er der en drøftelse om, hvad delmålet skal være, og den kommer vi til at have. men jeg synes egentlig, det er synd, at fru sofie carsten nielsen ikke tager lidt mere ære på sig i forhold til alt det, der er sket indtil nu, men at hun giver det indtryk, at der ikke foregår noget. jeg prøvede at lave en kort opremsning i min tale her, for vi er jo i fuld gang: energipolitik, industri, vi forhandler",2020-10-08T09:23:00Z,1000,Jesper Petersen,2020,Socialdemokratiet,2019-,1
Sikandar Siddique,20201_M2_referat,20201,2,"Referat af møde 2 den 7. oktober, 2020 kl. 13.00",07-10-2020,18,: det første punkt på dagsordenen er: 1 valg af stående udvalg m.v.,2020-10-07T13:04:00Z,1001,Sikandar Siddique,2020,Alternativet,2019-,1
Lars Boje Mathiesen,20201_M4_referat,20201,4,"Referat af møde 4 den 20. oktober, 2020 kl. 13.00",20-10-2020,1900,": jeg synes faktisk, der er kommet op til flere gode bemærkninger hist og pist fra salen af. det er jo dejligt, at vi kan mødes omkring det. og der er jo nogle gode intentioner i lovforslaget, så mon ikke vi i fællesskab kan få rettet de små ting til, som folk synes lige skal ændres måske noget karantæne, så vi rammer dem, som skal rammes, ekstra hårdt, og så måske stramme lidt op på det andet og sådan noget. det tror jeg da godt at vi kan finde enighed om, så det er positive ting herfra. ordfører ",2020-10-20T19:59:00Z,1002,Lars Boje Mathiesen,2020,x - Nye Borgerlige,2019-,1
Henrik Dahl,20201_M4_referat,20201,4,"Referat af møde 4 den 20. oktober, 2020 kl. 13.00",20-10-2020,1901,": tak for ordet. med lovforslag nr. er det jo som med alle andre lovforslag, at der både er gode og dårlige ting i det. en konkursgræn‐ se på 5 år er en rigtig god idé. det kunne vi måske også bruge her i huset en gang imellem, så det er da noget, der er fremtid i, kan man sige. så vil jeg sige, at politisk fastsatte dumpegrænser har vi arbejdet rigtig meget med inden for undervisningsområdet, hvor jeg har været ordfører i rigtig mange år, og det må jeg sige at man nok skal være lidt skeptisk over for. vi har haft dem både i gymnasierne og på universiteterne, og det har ikke været så godt. men det er jo alt i alt nogle ændringer, der efterspørges af branchen, og selv om man har sådan en metafor for regnskab som etiske regnskaber osv., er der også nogle regnskaber, der faktisk skal gå op, og det er jo dem, som revisorer arbejder med. og når de efterspørger de her ændringer, er det selvfølgelig noget, vi kan bakke op om. så der er opbakning til lovforslag nr. herfra. tak for ordet.",2020-10-20T20:00:00Z,1003,Henrik Dahl,2020,Liberal Alliance,2019-,1
Jens Rohde,20201_M4_referat,20201,4,"Referat af møde 4 den 20. oktober, 2020 kl. 13.00",20-10-2020,1902,: tak til hr. henrik dahl. så er det erhvervsministeren.,2020-10-20T20:01:00Z,1004,Jens Rohde,2020,Radikale Venstre,2019-,1
Simon Kollerup,20201_M4_referat,20201,4,"Referat af møde 4 den 20. oktober, 2020 kl. 13.00",20-10-2020,1903,": tak for det. og tak for de faldne og positive bemærkninger og tilkendegivelser. det lovforslag, vi behandler her, har jo til formål at styrke kravene til revisorer, som netop det, de er, nemlig offentlig‐ hedens tillidsrepræsentanter, og ændre reglerne for revisoreksamen for de statsautoriserede revisorer. og jeg har jo med glæde noteret mig, at lovforslaget også overordnet har fået en rigtig positiv og fin modtagelse under den offentlige høring, også af erhvervsorganisatio‐ nerne. det er selvfølgelig alfa og omega, at vi kan have tillid til re‐ visorerne som offentlighedens tillidsrepræsentanter. de skal sikre og opretholde tilliden til de finansielle informationer, som vores samfundsøkonomi bygger på. det kan derfor heller ikke være rig‐ tigt, at en revisor f.eks. kan agere som lige præcis offentlighedens tillidsrepræsentant, hvis vedkommende er eller har været pålagt konkurskarantæne, hvor man altså har vurderet vedkommende ueg‐ net til at deltage i ledelsen af en erhvervsvirksomhed på grund af groft uforsvarlig forretningsførelse. lovforslaget begrænser derfor muligheden for at virke som godkendt revisor og dermed agere som offentlighedens tillidsrepræsentant, hvis en person er eller har været pålagt konkurskarantæne af skifteretten. vi har desværre eksempler på, at revisorer i forbindelse med en domstolsprøvelse af revisornævnets frakendelse af deres revisorg‐ odkendelse fortsætter deres virke som revisor og i nogle tilfælde endda trænerer sagen ved domstolene. vi skal have stoppet, at en revisor kan fortsætte sit virke i længere tid, hvis pågældende groft har overtrådt reglerne og revisornævnet derfor har frataget vedkommende revisorgodkendelsen. revisornævnet får derfor med lovforslaget, vi behandler her, mu‐ lighed for midlertidigt at frakende revisorgodkendelsen, mens en sag om frakendelse af godkendelsen verserer ved nævnet. samtidig skal retten fremover tage stilling til, om en revisor, der har fået frakendt sin godkendelse som revisor af revisornævnet, kan fortsætte sit virke, mens sagen verserer ved domstolene. det betyder i praksis, at hvis man har fået frataget sin revisorgodkendelse, kan man ikke 64 tirsdag den 20. oktober 2020 spekulere i at anke sagen og trække afgørelsen i langdrag, alt imens man agerer som godkendt revisor. når man er offentlighedens tillidsrepræsentant, har man helt sær‐ lige opgaver og skal besidde helt særlige kompetencer på et højt fagligt niveau, og derfor vil de nye regler om revisoreksamen være med til at sikre, at offentligheden fortsat kan have tillid til, at reviso‐ rers afgivelse af erklæringer er udtryk for en høj kvalitet. ændringen består navnlig i ændringen af eksamensstrukturen, idet tre skriftlige moduler, altså prøver, afløses af én skriftlig prøve, der afholdes over 2 dage. samtidig lægges vægten i højere grad på revisorens kerne‐ opgaver, nemlig afgivelsen af erklæringer, f.eks. for virksomheders årsregnskaber. det skulle egentlig være det, jeg ville sige om de faldne bemærk‐ ninger. jeg har bare en enkelt kommentar til hans kristian skibbys spørgsmål til revisorpligten og revisionsspørgsmålet. det er jo des‐ værre stadig væk et aktuelt politisk emne, og regeringen agter at indkalde til politiske forhandlinger, og dem vil vi indkalde til i indeværende år, så vi kan få startet en politisk proces om det. men grunden til, at det ikke er en del af forslaget her, er ikke, at der ikke stadig væk er et politisk ønske om at gøre noget ved det det tror jeg vi deler ambitionen om, og derfor vil der blive politiske forhandlinger om det emne.",2020-10-20T20:01:00Z,1005,Simon Kollerup,2020,Socialdemokratiet,2019-,1
Jens Rohde,20201_M4_referat,20201,4,"Referat af møde 4 den 20. oktober, 2020 kl. 13.00",20-10-2020,1904,: hr. hans kristian skibby.,2020-10-20T20:05:00Z,1006,Jens Rohde,2020,Radikale Venstre,2019-,1
Hans Kristian Skibby,20201_M4_referat,20201,4,"Referat af møde 4 den 20. oktober, 2020 kl. 13.00",20-10-2020,1905,": tak, og tak for ministerens besvarelse. ministeren kom dog i sin ministertale ikke ind på spørgsmålet om karensperioden på konkurs‐ karantænen. man foreslår med det her lovforslag, at der skal være en 5-årskarensperiode, hvorimod der i den almindelige konkurska‐ rantæne alene er en karensperiode på 3 år. der synes jeg det var i hvert fald det, vi spurgte om i forbindelse med lovbehandlingen at ministeren skulle fortælle lidt om, hvad der er bevæggrundene for, at der skal være en karenstid på 2 år mere i forhold til at begå den her slags ulovligheder, end der er i forhold til dem, som man bliver dømt for efter den almindelige konkurskarantæne.",2020-10-20T20:05:00Z,1007,Hans Kristian Skibby,2020,NA,NA,1
