Title,id,Samling,Nr,Titel,Dato,Date,doc_id,Name,Year,Parti,Period,.groups
Bertel Haarder,20201_M1_referat,20201,1,"Referat af møde 1 den 6. oktober, 2020 kl. 12.00",06-10-2020,2020-10-06T11:58:00Z,1,Bertel Haarder,2020,Venstre,2019-,1
Torsten Gejl,20201_M3_referat,20201,3,"Referat af møde 3 den 8. oktober, 2020 kl. 9.00",08-10-2020,2020-10-08T19:25:00Z,10,Torsten Gejl,2020,Alternativet,2019-,1
Jesper Petersen,20201_M3_referat,20201,3,"Referat af møde 3 den 8. oktober, 2020 kl. 9.00",08-10-2020,2020-10-08T09:23:00Z,1000,Jesper Petersen,2020,Socialdemokratiet,2019-,1
Sikandar Siddique,20201_M2_referat,20201,2,"Referat af møde 2 den 7. oktober, 2020 kl. 13.00",07-10-2020,2020-10-07T13:04:00Z,1001,Sikandar Siddique,2020,Alternativet,2019-,1
Lars Boje Mathiesen,20201_M4_referat,20201,4,"Referat af møde 4 den 20. oktober, 2020 kl. 13.00",20-10-2020,2020-10-20T19:59:00Z,1002,Lars Boje Mathiesen,2020,x - Nye Borgerlige,2019-,1
Henrik Dahl,20201_M4_referat,20201,4,"Referat af møde 4 den 20. oktober, 2020 kl. 13.00",20-10-2020,2020-10-20T20:00:00Z,1003,Henrik Dahl,2020,Liberal Alliance,2019-,1
Jens Rohde,20201_M4_referat,20201,4,"Referat af møde 4 den 20. oktober, 2020 kl. 13.00",20-10-2020,2020-10-20T20:01:00Z,1004,Jens Rohde,2020,Radikale Venstre,2019-,1
Simon Kollerup,20201_M4_referat,20201,4,"Referat af møde 4 den 20. oktober, 2020 kl. 13.00",20-10-2020,2020-10-20T20:01:00Z,1005,Simon Kollerup,2020,Socialdemokratiet,2019-,1
Jens Rohde,20201_M4_referat,20201,4,"Referat af møde 4 den 20. oktober, 2020 kl. 13.00",20-10-2020,2020-10-20T20:05:00Z,1006,Jens Rohde,2020,Radikale Venstre,2019-,1
Hans Kristian Skibby,20201_M4_referat,20201,4,"Referat af møde 4 den 20. oktober, 2020 kl. 13.00",20-10-2020,2020-10-20T20:05:00Z,1007,Hans Kristian Skibby,2020,NA,NA,1
Simon Kollerup,20201_M4_referat,20201,4,"Referat af møde 4 den 20. oktober, 2020 kl. 13.00",20-10-2020,2020-10-20T20:06:00Z,1009,Simon Kollerup,2020,Socialdemokratiet,2019-,1
Christoffer Aagaard Melson,20201_M3_referat,20201,3,"Referat af møde 3 den 8. oktober, 2020 kl. 9.00",08-10-2020,2020-10-08T20:19:00Z,101,Christoffer Aagaard Melson,2020,Venstre,2019-,1
Jens Rohde,20201_M4_referat,20201,4,"Referat af møde 4 den 20. oktober, 2020 kl. 13.00",20-10-2020,2020-10-20T20:07:00Z,1010,Jens Rohde,2020,Radikale Venstre,2019-,1
Hans Kristian Skibby,20201_M4_referat,20201,4,"Referat af møde 4 den 20. oktober, 2020 kl. 13.00",20-10-2020,2020-10-20T20:07:00Z,1011,Hans Kristian Skibby,2020,NA,NA,1
Henrik Dam Kristensen,20201_M3_referat,20201,3,"Referat af møde 3 den 8. oktober, 2020 kl. 9.00",08-10-2020,2020-10-08T09:23:00Z,1012,Henrik Dam Kristensen,2020,Socialdemokratiet,2019-,1
Simon Kollerup,20201_M4_referat,20201,4,"Referat af møde 4 den 20. oktober, 2020 kl. 13.00",20-10-2020,2020-10-20T20:08:00Z,1014,Simon Kollerup,2020,Socialdemokratiet,2019-,1
Jens Rohde,20201_M4_referat,20201,4,"Referat af møde 4 den 20. oktober, 2020 kl. 13.00",20-10-2020,2020-10-20T20:09:00Z,1015,Jens Rohde,2020,Radikale Venstre,2019-,1
Rasmus Horn Langhoff,20201_M4_referat,20201,4,"Referat af møde 4 den 20. oktober, 2020 kl. 13.00",20-10-2020,2020-10-20T20:10:00Z,1016,Rasmus Horn Langhoff,2020,Socialdemokratiet,2019-,1
Jens Rohde,20201_M4_referat,20201,4,"Referat af møde 4 den 20. oktober, 2020 kl. 13.00",20-10-2020,2020-10-20T20:13:00Z,1017,Jens Rohde,2020,Radikale Venstre,2019-,1
Liselott Blixt,20201_M4_referat,20201,4,"Referat af møde 4 den 20. oktober, 2020 kl. 13.00",20-10-2020,2020-10-20T20:13:00Z,1018,Liselott Blixt,2020,Dansk Folkeparti,2019-,1
Henrik Dam Kristensen,20201_M3_referat,20201,3,"Referat af møde 3 den 8. oktober, 2020 kl. 9.00",08-10-2020,2020-10-08T20:19:00Z,102,Henrik Dam Kristensen,2020,Socialdemokratiet,2019-,1
Rasmus Horn Langhoff,20201_M4_referat,20201,4,"Referat af møde 4 den 20. oktober, 2020 kl. 13.00",20-10-2020,2020-10-20T20:13:00Z,1020,Rasmus Horn Langhoff,2020,Socialdemokratiet,2019-,1
Jens Rohde,20201_M4_referat,20201,4,"Referat af møde 4 den 20. oktober, 2020 kl. 13.00",20-10-2020,2020-10-20T20:15:00Z,1021,Jens Rohde,2020,Radikale Venstre,2019-,1
Liselott Blixt,20201_M4_referat,20201,4,"Referat af møde 4 den 20. oktober, 2020 kl. 13.00",20-10-2020,2020-10-20T20:15:00Z,1022,Liselott Blixt,2020,Dansk Folkeparti,2019-,1
